,timestamp,open,high,low,close,volume
0,2024-02-06 09:00:00,492.99,492.99,492.99,493.19,866.0
1,2024-02-06 09:04:00,493.17,493.17,493.17,493.18,671.0
2,2024-02-06 09:10:00,493.14,493.13,493.13,493.13,328.0
3,2024-02-06 09:11:00,493.1,493.1,493.1,493.1,184.0
4,2024-02-06 09:15:00,493.25,493.25,493.25,493.25,170.0
5,2024-02-06 09:16:00,493.25,493.25,493.25,493.25,239.0
6,2024-02-06 09:23:00,493.28,493.28,493.28,493.28,197.0
7,2024-02-06 09:25:00,493.18,493.17,493.17,493.17,560.0
8,2024-02-06 09:34:00,493.2,493.2,493.2,493.2,265.0
9,2024-02-06 09:39:00,493.17,493.17,493.17,493.17,153.0
10,2024-02-06 09:43:00,493.18,493.18,493.18,493.18,158.0
11,2024-02-06 09:44:00,493.11,493.11,493.11,493.11,100.0
12,2024-02-06 09:48:00,492.87,492.87,492.87,492.87,404.0
13,2024-02-06 09:51:00,492.89,492.89,492.89,492.89,104.0
14,2024-02-06 09:54:00,492.85,492.85,492.85,492.85,511.0
15,2024-02-06 09:56:00,492.8,492.8,492.8,492.85,719.0
16,2024-02-06 09:57:00,492.85,492.85,492.85,492.85,1220.0
17,2024-02-06 09:58:00,492.84,492.82,492.82,492.82,1270.0
18,2024-02-06 10:00:00,492.8,492.8,492.8,492.8,183.0
19,2024-02-06 10:02:00,492.72,492.71,492.71,492.71,836.0
20,2024-02-06 10:09:00,492.7,492.7,492.7,492.7,170.0
21,2024-02-06 10:15:00,492.6,492.6,492.6,492.6,503.0
22,2024-02-06 10:16:00,492.62,492.62,492.62,492.62,413.0
23,2024-02-06 10:28:00,492.49,492.48,492.48,492.48,476.0
24,2024-02-06 10:29:00,492.49,492.49,492.49,492.49,105.0
25,2024-02-06 10:34:00,492.49,492.41,492.41,492.41,2047.0
26,2024-02-06 10:38:00,492.43,492.43,492.43,492.43,503.0
27,2024-02-06 10:39:00,492.46,492.46,492.46,492.46,170.0
28,2024-02-06 10:41:00,492.56,492.56,492.56,492.56,403.0
29,2024-02-06 10:42:00,492.57,492.54,492.54,492.54,1328.0
30,2024-02-06 10:44:00,492.54,492.54,492.54,492.54,2086.0
31,2024-02-06 10:45:00,492.55,492.54,492.54,492.55,1685.0
32,2024-02-06 10:47:00,492.53,492.53,492.53,492.53,206.0
33,2024-02-06 10:51:00,492.72,492.72,492.72,492.72,285.0
34,2024-02-06 10:53:00,492.77,492.77,492.77,492.77,210.0
35,2024-02-06 10:58:00,492.67,492.67,492.67,492.67,103.0
36,2024-02-06 11:01:00,492.75,492.74,492.74,492.74,323.0
37,2024-02-06 11:02:00,492.77,492.77,492.77,492.77,140.0
38,2024-02-06 11:12:00,492.63,492.63,492.63,492.63,263.0
39,2024-02-06 11:15:00,492.53,492.5,492.5,492.5,399.0
40,2024-02-06 11:18:00,492.55,492.55,492.55,492.55,221.0
41,2024-02-06 11:20:00,492.54,492.54,492.54,492.56,725.0
42,2024-02-06 11:22:00,492.68,492.68,492.68,492.68,110.0
43,2024-02-06 11:26:00,492.59,492.59,492.59,492.59,216.0
44,2024-02-06 11:27:00,492.66,492.66,492.66,492.66,120.0
45,2024-02-06 11:29:00,492.68,492.68,492.68,492.68,205.0
46,2024-02-06 11:30:00,492.65,492.65,492.65,492.65,184.0
47,2024-02-06 11:32:00,492.58,492.58,492.58,492.58,294.0
48,2024-02-06 11:33:00,492.55,492.55,492.55,492.55,173.0
49,2024-02-06 11:36:00,492.3,492.2,492.2,492.24,961.0
50,2024-02-06 11:37:00,492.19,492.18,492.18,492.18,1563.0
51,2024-02-06 11:38:00,492.17,492.17,492.17,492.17,462.0
52,2024-02-06 11:39:00,492.1,492.07,492.07,492.07,1005.0
53,2024-02-06 11:40:00,492.15,492.15,492.15,492.15,133.0
54,2024-02-06 11:42:00,492.29,492.28,492.28,492.28,336.0
55,2024-02-06 11:44:00,492.12,492.12,492.12,492.12,669.0
56,2024-02-06 11:45:00,492.14,492.11,492.11,492.11,451.0
57,2024-02-06 11:47:00,492.1,492.05,492.05,492.05,1670.0
58,2024-02-06 11:49:00,492.12,492.12,492.12,492.12,201.0
59,2024-02-06 11:50:00,492.12,492.12,492.12,492.12,2090.0
60,2024-02-06 11:51:00,492.2,492.2,492.2,492.2,164.0
61,2024-02-06 11:52:00,492.27,492.27,492.27,492.29,550.0
62,2024-02-06 11:54:00,492.29,492.29,492.29,492.3,1176.0
63,2024-02-06 11:55:00,492.27,492.26,492.26,492.26,1380.0
64,2024-02-06 12:00:00,492.34,492.31,492.31,492.31,2350.0
65,2024-02-06 12:03:00,492.44,492.4,492.4,492.4,1531.0
66,2024-02-06 12:06:00,492.37,492.32,492.32,492.35,4576.0
67,2024-02-06 12:09:00,492.39,492.39,492.39,492.39,370.0
68,2024-02-06 12:10:00,492.39,492.39,492.39,492.39,1451.0
69,2024-02-06 12:11:00,492.39,492.39,492.39,492.39,522.0
70,2024-02-06 12:12:00,492.32,492.32,492.32,492.38,2064.0
71,2024-02-06 12:15:00,492.35,492.35,492.35,492.35,138.0
72,2024-02-06 12:16:00,492.38,492.38,492.38,492.38,518.0
73,2024-02-06 12:17:00,492.4,492.4,492.4,492.41,1281.0
74,2024-02-06 12:18:00,492.32,492.32,492.32,492.32,260.0
75,2024-02-06 12:19:00,492.3,492.3,492.3,492.34,2581.0
76,2024-02-06 12:20:00,492.35,492.35,492.35,492.35,2202.0
77,2024-02-06 12:22:00,492.23,492.23,492.23,492.25,277.0
78,2024-02-06 12:23:00,492.24,492.14,492.14,492.15,4253.0
79,2024-02-06 12:24:00,492.15,492.15,492.15,492.15,732.0
80,2024-02-06 12:25:00,492.13,492.13,492.13,492.15,2820.0
81,2024-02-06 12:26:00,492.13,492.03,492.03,492.03,3879.0
82,2024-02-06 12:28:00,492.08,492.08,492.08,492.08,184.0
83,2024-02-06 12:30:00,492.13,492.13,492.13,492.2,570.0
84,2024-02-06 12:31:00,492.2,492.2,492.2,492.23,1388.0
85,2024-02-06 12:32:00,492.1,492.1,492.1,492.12,1033.0
86,2024-02-06 12:33:00,492.11,492.11,492.11,492.12,1200.0
87,2024-02-06 12:34:00,492.16,492.16,492.16,492.24,475.0
